DISPUTE.id,DISPUTE.title,DISPUTE.economic_sector,DISPUTE.case_respondent,DISPUTE.amount_of_damages,DISPUTE.case_law_text,DISPUTE.case_treaties_tid,DISPUTE.case_claimant,DISPUTE.arbitration_rules,DISPUTE.outcome,DISPUTE.case_treaties,DISPUTE.case_country,DISPUTE.icsid_caseno
3280,"World Duty Free Company v Republic of Kenya, ICSID Case No. Arb/00/7",Other service activities,,,,,,ICSID,In favour of Investor,,,ARB/00/7
3027,"Wilson Beimar Magne Hinojosa, Diputado Nacional contra Eduardo Rodríguez Veltzé, Presidente Constitucional de la República de Bolivia, y otro",,BOL,,,1728.0,Wilson Beimar Magne Hinojosa,,,"Bolivia-Netherlands BIT, Bolivia-France BIT, Bolivia-United Kingdom BIT, Bolivia-Spain BIT, Bolivia-United States BIT",BOL,
1171,"Wintershall Aktiengesellschaft v. Argentine Republic, ICSID Case No. ARB/04/14",,ARG,,Argentina-Germany BIT,369.0,Wintershall Aktiengesellschaft,ICSID,,Argentina-Germany BIT,,ARB/04/14
1585,"Windstream Energy LLC v. Government of Canada, PCA Case No. 2013-22",,CAN,,NAFTA,11.0,Windstream Energy LLC,UNCITRAL,,NAFTA,,2013-22
3996,"Watkins Holdings S.à r.l. and others v. Kingdom of Spain, ICSID Case No. ARB/15/44","Electricity, gas, steam and air conditioning supply",,,Energy Charter Treaty,2855.0,,ICSID,,Energy Charter Treaty,,ARB/15/44
4258,"B-Mex, LLC and others v. United Mexican States, ICSID Case No. ARB(AF)/16/3",Other service activities,,,NAFTA,11.0,,ICSID Additional Facility,,NAFTA,,ARB(AF)/16/3
1445,Peter Franz Vocklinghaus v. Czech Republic,,CZE,,Czech Republic-Germany BIT,149.0,Vocklinghaus,,,Czech Republic-Germany BIT,,
1153,"Vivendi v. Republic of Poland, UNCITRAL",,POL,,France-Poland BIT,612.0,Vivendi,UNCITRAL,,France-Poland BIT,,
3947,"Viorel Micula, European Drinks SA, rIENI dRINKS sa, Transilvania General Import-Export SRL, West Leasing International SRL v. European  Commission, ECJ- Case T-702/15",Accommodation and food service activities,,,,,,,,,,
1797,Victims of the Stanford Ponzi Scheme v. The Government of the United States of America,,USA,,CAFTA,231.0,Victims of the Stanford Ponzi Scheme,,,CAFTA,,
1151,"Veteran Petroleum Limited (Cyprus) v. The Russian Federation, UNCITRAL, PCA Case No. AA 228",,RUS,,Energy Charter Treaty (ECT),59.0,Veteran Petroleum Limited (Cyprus),UNCITRAL,,Energy Charter Treaty (ECT),,AA 228
2101,"Veolia Propreté v. Arab Republic of Egypt, ICSID Case No. ARB/12/15",,EGY,,Egypt-France BIT,928.0,Veolia Propreté,ICSID,,Egypt-France BIT,,ARB/12/15
2099,"Venoklim Holding B.V. v. Bolivarian Republic of Venezuela, ICSID Case No. ARB/12/22",,VEN,,Netherlands-Venezuela BIT,192.0,Venoklim Holding B.V.,ICSID,,Netherlands-Venezuela BIT,,ARB/12/22
4254,"Venezuela US, S.R.L. (Barbados) ​v. Bolivarian Republic of Venezuela, PCA Case No. 2013-34","Mining and quarrying, including hydrocarbons (oil and gas)",,,,3325.0,,UNCITRAL,,Agreement between the Government of Barbados and the Republic of Venezuela for the Promotion and Protection of Investments,,2013-34
3645,"Venezuela Holdings B.V. and others v. Bolivarian Republic of Venezuela, ICSID Case No. ARB/07/27","Mining and quarrying, including hydrocarbons (oil and gas)",,,Netherlands-Venezuela BIT,192.0,,ICSID,Pending,Netherlands-Venezuela BIT,,ARB/07/27
1654,"Vattenfall AB and others v. Federal Republic of Germany, ICSID Case No. ARB/12/12",,DEU,,Energy Charter Treaty (ECT),59.0,Vattenfall AB,ICSID,,Energy Charter Treaty (ECT),,ARB/12/12
1148,"Vattenfall AB, Vattenfall Europe AG, Vattenfall Europe Generation AG v. Federal Republic of Germany, ICSID Case No. ARB/09/6 (formerly Vattenfall AB, Vattenfall Europe AG, Vattenfall Europe Generation AG & Co. KG v. The Federal Republic of Germany)",,DEU,,Energy Charter Treaty (ECT),59.0,Vattenfall AB,ICSID,,Energy Charter Treaty (ECT),,ARB/09/6
1146,"Vannessa Ventures Ltd. v. Bolivarian Republic of Venezuela, ICSID Case No. ARB(AF)04/6",,VEN,,Canada-Venezuela BIT,467.0,Vanessa Ventures Ltd.,ICSID Additional Facility,,Canada-Venezuela BIT,,ARB(AF)/04/6
2160,"Lieven J. van Riet, Chantal C. van Riet and Christopher van Riet v. Republic of Croatia, ICSID Case No. ARB/13/12",,HRV,,Belgium-Luxembourg-Croatia BIT,939.0,van Riet,ICSID,,Belgium-Luxembourg-Croatia BIT,,ARB/13/12
2127,"Valores Mundiales, S.L. and Consorcio Andino S.L. v. Bolivarian Republic of Venezuela, ICSID Case No. ARB/13/11",,VEN,,Spain-Venezuela BIT,610.0,"Valores Mundiales, S.L. , Consorcio Andino S.L.",ICSID,,Spain-Venezuela BIT,,ARB/13/11
2097,"Valle Verde Sociedad Financiera S.L. v. Bolivarian Republic of Venezuela, ICSID Case No. ARB/12/18",,VEN,,Spain-Venezuela BIT,610.0,Valle Verde Sociedad Financiera S.L.,ICSID,,Spain-Venezuela BIT,,ARB/12/18
3282,"Vacuum Salt Products Ltd. v. Republic of Ghana, ICSID Case No. ARB/92/1",Financial and insurance activities,,,,,,ICSID,In favour of State,,,ARB/92/1
2768,"Vigotop Limited v. Hungary, ICSID Case No. ARB/11/22",,HUN,,Cyprus-Hungary BIT,44.0,Vigotop Limited,ICSID,,Cyprus-Hungary BIT,,ARB/11/22
3616,"Vestey Group Ltd v. Bolivarian Republic of Venezuela, ICSID Case No. ARB/06/4","Agriculture, forestry and fishing",,,United Kingdom-Venezual BIT,2297.0,,ICSID,Pending,United Kingdom-Venezual BIT,,ARB/06/4
1144,"Urbaser S.A. and Consorcio de Aguas Bilbao Bizkaia, Bilbao Biskaia Ur Partzuergoa v. The Argentine Republic, ICSID Case No. ARB/07/26",,ARG,,Argentina-Spain BIT,332.0,"Urbaser S.A. , Consorcio de Aguas Bilbao Bizkaia, Bilbao Biskaia Ur Partzuergoa",ICSID,,Argentina-Spain BIT,,ARB/07/26
2456,"Unión Fenosa Gas, S.A. v. Arab Republic of Egypt, ICSID Case No. ARB/14/4",,EGY,,Egypt-Spain BIT,1032.0,"Unión Fenosa Gas, S.A.",ICSID,,Egypt-Spain BIT,,ARB/14/4
3590,"Unisys Corporation v. Argentine Republic, ICSID Case No. ARB/03/27",Information and communication,,,Argentina-United States BIT,179.0,,ICSID,Pending,Argentina-United States BIT,,ARB/03/27
1141,"Universal Compression International Holdings, S.L.U. v. The Bolivarian Republic of Venezuela, ICSID Case No. Arb/10/9",,VEN,,Spain-Venezuela BIT,610.0,"Universal Compression International Holdings, S.L.U.",ICSID,,Spain-Venezuela BIT,,ARB/10/9
3147,"United Utilities (Tallinn) B.V. and Aktsiaselts Tallinna Vesi v. Republic of Estonia, ICSID Case No. ARB/14/24","Water supply; sewerage, waste management and remediation activities",EST,,Netherlands-Estonia BIT,1597.0,"United Utilities (Tallinn) B.V., Aktsiaselts Tallinna Vesi",ICSID,,Netherlands-Estonia BIT,,ARB/14/24
1132,"Ulysseas, Inc. v. The Republic of Ecuador, UNCITRAL",,ECU,,Ecuador-United States BIT,172.0,"Ulysseas, Inc.",UNCITRAL,,Ecuador-United States BIT,,
2095,"UAB E energija (Lithuania) v. Republic of Latvia, ICSID Case No. ARB/12/33",,LVA,,,925.0,UAB E energija,ICSID,,Latvia-Lithuania BIT,,ARB/12/33
1130,"Ulemek v. Croatia, UNCITRAL",,HRV,,Canada-Croatia BIT,608.0,Ulemek,UNCITRAL,,Canada-Croatia BIT,,
1903,"U.S. Steel Global Holdings I B.V. v. The Slovak Republic, UNCITRAL, PCA Case No. 2013-6",,SVK,,Netherlands-Slovak Repubic BIT,383.0,U.S. Steel Global Holdings I B.V.,UNCITRAL,,Netherlands-Slovak Repubic BIT,,2013-6
1126,"Señor Tza Yap Shum v. The Republic of Peru, ICSID Case No. ARB/07/6",,PER,,China-Peru BIT,606.0,Tza Yap Shum,ICSID,,China-Peru BIT,,ARB/07/6
2988,"TSIKinvest LLC v. Republic of Moldova, SCC Emergency Arbitration No. EA (2014/053)",Financial and insurance activities,MDA,,Moldova-Russian Federation BIT,157.0,TSIKinvest LLC,SCC,,Moldova-Russian Federation BIT,,
2093,"Tullow Uganda Operations PTY LTD v. Republic of Uganda, ICSID Case No. ARB/12/34",,UGA,,Uganda-United Kingdom BIT,923.0,Tullow Uganda Operations PTY LTD,ICSID,,Uganda-United Kingdom BIT,,ARB/12/34
1118,"TSA Spectrum de Argentina S.A. v. Argentine Republic, ICSID Case No. ARB/05/5",,ARG,,Argentina-Netherlands BIT,602.0,TSA Spectrum de Argentina S.A.,ICSID,,Argentina-Netherlands BIT,,ARB/05/5
1124,"Tulip Real Estate and Development Netherlands B.V. v. Republic of Turkey, ICSID Case No. ARB/11/28",,TUR,,Netherlands-Turkey BIT,294.0,Tulip Real Estate and Development Netherlands B.V.,ICSID,,Netherlands-Turkey BIT,,ARB/11/28
1122,"TS Investment Corp. v. Republic of Armenia, LCIA",,ARM,,Armenia-United States BIT,604.0,TS Investment Corp.,LCIA,,Armenia-United States BIT,,
3800,"Valeri Belokon v. Kyrgyz Republic, UNCITRAL",Financial and insurance activities,,"US $15,000,000",Kyrgyzstan - Latvia BIT (2008),2450.0,,UNCITRAL,In favour of Investor,Kyrgyzstan - Latvia BIT,,
2242,"Transglobal Green Energy, LLC and Transglobal Green Energy de Panama, S.A. v. The Republic of Panama, ICSID Case No. ARB/13/28",,PAN,,Panama-United States of America BIT,460.0,Transglobal Green Energy,ICSID,,Panama-United States of America BIT,,ARB/13/28
1110,"Tradex Hellas S.A. v. Republic of Albania, ICSID Case No. ARB/94/2",,ALB,,Albanian Law No. 7764 on Foreign Investments (1993),,Tradex Hellas S.A.,ICSID,,,,ARB/94/2
2408,"TRACO Deutsche Travertinwerke GmbH v. The Republic of Poland, UNCITRAL",,POL,,Germany-Poland BIT,466.0,TRACO Deutsche Travertinwerke GmbH,UNCITRAL,,Germany-Poland BIT,,
1108,"Toto Costruzioni Generali S.p.A. v. The Republic of Lebanon, ICSID Case No. ARB/07/12",,LBN,,Italy-Lebanon BIT,596.0,Toto Costruzioni Generali S.p.A.,ICSID,,Italy-Lebanon BIT,,ARB/07/12
1113,"Trans-Global Petroleum, Inc. v. The Hashemite Kingdom of Jordan, ICSID Case No. ARB/07/25",,JOR,,Jordan-United States BIT,601.0,"Trans-Global Petroleum, Inc.",ICSID,,Jordan-United States BIT,,ARB/07/25
2091,"Transban Investments Corp. v. Bolivarian Republic of Venezuela, ICSID Case No. ARB/12/24",,VEN,,Barbados-Venezuela BIT,590.0,Transban Investments Corp.,ICSID,,Barbados-Venezuela BIT,,ARB/12/24
1099,"Tokios Tokelés v. Ukraine, ICSID Case No. ARB/02/18",,UKR,,,593.0,Tokios Tokelés,ICSID,,Lithuania-Ukraine BIT,,ARB/02/18
3288,"Togo Electricité and GDF-Suez Energie Services v. Republic of Togo, ICSID Case No. ARB/06/7","Electricity, gas, steam and air conditioning supply",,,,,,ICSID,Discontinued,,,ARB/06/7
3286,"Togo Electricité v. Republic of Togo, ICSID Case No. CONC/05/1","Electricity, gas, steam and air conditioning supply",,,,,,ICSID,Unknown (Data not available),,,CONC/05/1
1096,"Tidewater Inc., Tidewater Investment SRL, Tidewater Caribe, C.A., et al. v. The Bolivarian Republic of Venezuela, ICSID Case No. ARB/10/5",,VEN,,Barbados-Venezuela BIT,590.0,"Tidewater Inc., Point Marine, L.L.C., Jackson Marine, L.L.C., Zapata Gulf Marine Operators, L.L.C.",ICSID,,Barbados-Venezuela BIT,,ARB/10/5
3591,"TG World Petroleum Limited v. Republic of Niger, ICSID Case No. CONC/03/1","Mining and quarrying, including hydrocarbons (oil and gas)",,,,,,ICSID,Settled,,,CONC/03/1
1631,"Tethyan Copper Company Pty Limited v. Islamic Republic of Pakistan, ICSID Case No. ARB/12/1",,PAK,,Australia-Pakistan BIT,818.0,Tethyan Copper Company Pty Limited,ICSID,,Australia-Pakistan BIT,,ARB/12/1
1134,"Marion Unglaube v. Republic of Costa Rica, ICSID Case No. ARB/08/1",,CRI,,Costa Rica-Germany BIT,609.0,Unglaube,ICSID,,Costa Rica-Germany BIT,,ARB/08/1
1136,"Reinhard Unglaube v. Republic of Costa Rica, ICSID Case No. ARB/09/20",,CRI,,Costa Rica-Germany BIT,609.0,Unglaube,ICSID,,Costa Rica-Germany BIT,,ARB/09/20
3506,"Tesoro Petroleum Corporation v. Trinidad and Tobago, ICSID Case No. CONC/83/1","Mining and quarrying, including hydrocarbons (oil and gas)",,,,,,ICSID,Settled,,,CONC/83/1
3291,"Tesoro Petroleum Corporation v. Trinidad and Tobago, ICSID Case No. CONC/83/1","Mining and quarrying, including hydrocarbons (oil and gas)",,,,,,,Settled,,,CONC/83/1
2089,"Ternium S.A. and Consorcio Siderurgia Amazonia S.L. v. Bolivarian Republic of Venezuela, ICSID Case No. ARB/12/19",,VEN,,Luxembourg-Venezuela BIT,920.0,"Ternium S.A. , Consorcio Siderurgia Amazonia S.L.",ICSID,,Luxembourg-Venezuela BIT,,ARB/12/19
1093,"Telenor Mobile Communications A.S. v. The Republic of Hungary, ICSID Case No. ARB/04/15",,HUN,,Hungary-Norway BIT,586.0,Telenor Mobile Communications A.S.,ICSID,,Hungary-Norway BIT,,ARB/04/15
1200,"Telekom Malaysia Berhad v. The Republic of Ghana, Case No. HA/RK 2004, 788",,GHA,,Ghana-Malaysia BIT,585.0,Telekom Malaysia Berhad,UNCITRAL,,Ghana-Malaysia BIT,,"HA/RK 2004, 788"
1089,"Telefónica S.A. v. The Argentine Republic, ICSID Case No. ARB/03/20",,ARG,,Argentina-Spain BIT,332.0,Telefónica S.A.,ICSID,,Argentina-Spain BIT,,ARB/03/20
2221,"Güne Tekstil Konfeksiyon Sanayi ve Ticaret Limited irketi and others v. Republic of Uzbekistan, ICSID Case No. ARB/13/19",,UZB,,,965.0,Tekstil,ICSID,,Turkey-Uzbekistan BIT,,ARB/13/19
1648,"Teinver S.A., Transportes de Cercanías S.A. and Autobuses Urbanos del Sur S.A. v. The Argentine Republic, ICSID Case No. ARB/09/1",,ARG,,Argentina-Spain BIT,332.0,"Teinver S.A., Transportes de Cercanías S.A., Autobuses Urbanos del Sur S.A.",ICSID,,Argentina-Spain BIT,,ARB/09/1
1087,"Técnicas Medioambientales Tecmed, S.A. v. The United Mexican States, ICSID Case No. ARB (AF)/00/2",,MEX,,Mexico-Spain BIT,583.0,"Técnicas Medioambientales Tecmed, S.A.",ICSID Additional Facility,,Mexico-Spain BIT,,ARB(AF)/00/2
1074,"TCW Group, Inc and Dominican Energy Holdings, L.P. v. The Dominican Republic, UNCITRAL",,DOM,,CAFTA,231.0,"TCW Group, Inc, Dominican Energy Holdings, L.P.",UNCITRAL,,CAFTA,,
3292,"Tanzania Electric Supply Company Limited v. Independent Power Tanzania Limited, ICSID Case No. ARB/98/8","Electricity, gas, steam and air conditioning supply",,,,,,,Discontinued,,,ARB/98/8
1072,"Tanmiah v. Tunisia, Arab Investment Court",,TUN,,,581.0,Tanmiah,,,Arab Investment Agreement,,
1516,"Swisslion DOO Skopje v. The Former Yugoslav Republic of Macedonia, ICSID Case No. ARB/09/16",,MKD,,Macedonia (former Yugoslav Republic of Macedonia)-Swiss BIT,794.0,Swisslion DOO Skopje,ICSID Additional Facility,,Macedonia (former Yugoslav Republic of Macedonia)-Swiss BIT,,ARB/09/16
2410,"Swiss Investor v. Republic of South Africa, UNCITRAL",,ZAF,,South Africa-Switzerland BIT,1019.0,Swiss Investor,,,South Africa-Switzerland BIT,,
3298,"Swiss Aluminium Limited and Icelandic Aluminium Company Limited v. Iceland, ICSID Case No. ARB/83/1","Mining and quarrying, including hydrocarbons (oil and gas)",,,,,,ICSID,Settled,,,ARB/83/1
4213,"Svenska Petroleum Exploration AB v AB Geonafta and the Republic of Lithuania, ICC","Mining and quarrying, including hydrocarbons (oil and gas)",,"US $12,579,000",,,,ICC,In favour of Investor,,,
1629,"TECO Guatemala Holdings, LLC v. Republic of Guatemala, ICSID Case No. ARB/10/23","Electricity, gas, steam and air conditioning supply",GTM,"US $21,100,000",CAFTA,231.0,"TECO Guatemala Holdings, LLC",ICSID,In favour of Investor,CAFTA,,ARB/10/23
597,"Talsud S.A. v. The United Mexican States, ICSID Case No. ARB(AF)/04/4",Transportation and storage,MEX,"US $5,450,000",Argentina-Mexico BIT,334.0,Talsud S.A.,ICSID Additional Facility - Arbitration Rules,In favour of State,Argentina-Mexico BIT,,ARB(AF)/04/4
2052,"Supervision y Control S.A. v. Republic of Costa Rica, ICSID Case No. ARB/12/4",Transportation and storage,CRI,,Costa Rica-Spain BIT,903.0,Supervision y Control S.A.,ICSID,In favour of State,Costa Rica-Spain BIT,,ARB/12/4
