id,title,economic_sector,case_respondent,amount_of_damages,case_law_text,case_treaties_tid,case_claimant,arbitration_rules,outcome,case_treaties,case_country
3581,"Booker plc v. Co-operative Republic of Guyana, ICSID Case No. ARB/01/9",Financial and insurance activities,,,Guyana - United Kingdom of Great Britain and Northern Ireland BIT,2269,,ICSID,Discontinued,Guyana - United Kingdom of Great Britain and Northern Ireland BIT,
2634,"Yuri Bogdanov and Yulia Bogdanova v. Republic of Moldova, SCC Case No. V091/2012",,MDA,,Moldova-Russian Federation BIT,157,"Bogdanov, Bogdanova",SCC,,Moldova-Russian Federation BIT,
169,"Yury Bogdanov v. Republic of Moldova, SCC Arbitration No. V (114/2009)",,MDA,,Moldova-Russian Federation BIT,157,Bogdanov,SCC,,Moldova-Russian Federation BIT,
1513,"Blue Bank International & Trust (Barbados) Ltd. v. Bolivarian Republic of Venezuela, ICSID Case No. ARB 12/20",,VEN,,Barbados-Venezuela BIT,590,Blue Bank International & Trust (Barbados) Ltd.,ICSID,,Barbados-Venezuela BIT,
151,"Binder v. Czech Republic, UNCITRAL",,CZE,,Czech Republic-Germany BIT,149,Binder,UNCITRAL,,Czech Republic-Germany BIT,
149,"Biedermann International, Inc. v. The Republic of Kazakhstan and The Association for Social and Economic Development of Western Kazakhstan ""Intercaspian"", SCC Case No. 97/1996",,KAZ,,Kazakhstan-United States BIT,72,"Biedermann International, Inc.",SCC,,Kazakhstan-United States BIT,
168,"Iurii Bogdanov, Agurdino-Invest Ltd. and Agurdino-Chimia JSC v. Republic of Moldova, SCC",,MDA,,Moldova-Russian Federation BIT,157,"Bogdanov, Agurdino-Invest Ltd.",SCC,,Moldova-Russian Federation BIT,
140,"Vladimir Berschader and Moïse Berschader v. The Russian Federation, SCC Case No. 080/2004",,RUS,,Belgium-Russian Federation BIT,142,Berschander,SCC,,Belgium-Russian Federation BIT,
155,"Trinh Vinh Binh v. Vietnam, UNCITRAL",,VNM,,Netherlands-Vietnam BIT,151,Binh,UNCITRAL,,Netherlands-Vietnam BIT,
1454,"Adem Dogan v. Turkmenistan, ICSID Case No. ARB/09/9",,,,,769,,ICSID,,Germany-Turkmenistan BIT,
157,"Biwater Gauff (Tanzania) Ltd. v. United Republic of Tanzania, ICSID Case No. ARB/05/22",,TZA,,Tanzania-United Kingdom BIT,153,Biwater Gauff (Tanzania) Ltd.,ICSID,,Tanzania-United Kingdom BIT,
138,"Stephane Benhamou v. Uruguay, UNCITRAL",,URY,,France-Uruguay BIT,140,Benhamou,UNCITRAL,,France-Uruguay BIT,
2637,Lee John Beck and Central Asian Development Corporation v. Kyrgyz Republic,,KGZ,,CIS Convention for the Protection of Investors Rights (1997) (Russian),2417,"Lee John Beck, Central Asian Development Corporation",,,CIS Convention for the Protection of Investors Rights (1997),
2848,"Bear Creek Mining Corporation v. Republic of Peru, ICSID Case No. ARB/14/2",,PER,,Canada-Peru Free Trade Agreement,1174,Bear Creek Mining Corporation,ICSID,,Canada-Peru Free Trade Agreement,
2301,"Bawabet Al Kuwait Holding Company v. Arab Republic of Egypt, ICSID Case No. ARB/11/6",,EGY,,,985,Bawabet Al Kuwait Holding Company,ICSID,,Egypt-Kuwait BIT,
131,"Bayindir Insaat Turizm Ticaret Ve Sanayi A.S. v. Islamic Republic of Pakistan, ICSID Case No. ARB/03/29",,PAK,,Pakistan-Turkey BIT,134,Bayindir Insaat Turizm Ticaret Ve Sanayi A.S.,ICSID,,Pakistan-Turkey BIT,
134,"Bayview Irrigation District et al. v. United Mexican States, ICSID Case No. ARB(AF)/05/1",,MEX,,NAFTA,11,Bayview Irrigation District,ICSID Additional Facility,,NAFTA,
3255,AVIC International Holding Corporation and Chengdu Aircraft Corporation v Triumph Aerostructures,"Professional, scientific and technical activities",,US $20,,,,ICC,In favour of Investor,,
2959,"David R. Aven and Others v. Republic of Costa Rica, ICSID Case No. UNCT/15/3",,CRI,,,1179,Aven,UNCITRAL,,CAFTA-DR,
3458,"Autopista Concesionada de Venezuela, C.A. v. Bolivarian Republic of Venezuela, ICSID Case No. ARB/00/5",Transportation and storage,,,,,,ICSID,In favour of Investor,,
3579,"Astaldi S.p.A. & Columbus Latinoamericana de Construcciones S.A. v. Republic of Honduras, ICSID Case No. ARB/99/8",Transportation and storage,,,,,,ICSID,In favour of Investor,,
103,"Austrian Airlines v. The Slovak Republic, UNCITRAL",,SVK,,Austria-Slovak Republic BIT,116,Austrian Airlines,UNCITRAL,,Austria-Slovak Republic BIT,
1824,Attila Dogan Construction and Installation Co. v. The Sultanate of Oman,,OMN,,Oman-Turkey BIT,846,Attila Dogan Construction and Installation Co.,,,Oman-Turkey BIT,
2869,"Serafín García Armas and Karina García Gruber v. The Bolivarian Republic of Venezuela, UNCITRAL, Caso CPA No. 2013-3",,VEN,,Spain-Venezuela BIT,610,"Armas, Gruber",UNCITRAL,,Spain-Venezuela BIT,
3461,"Atlantic Triton Company Limited v. People's Revolutionary Republic of Guinea, ICSID Case No. ARB/84/1","Agriculture, forestry and fishing",,,,,,ICSID,In favour of Investor,,
3608,"Asset Recovery Trust S.A. v. Argentine Republic, ICSID Case No. ARB/05/11",Financial and insurance activities,,,Argentina-United States BIT,179,,ICSID,Discontinued,Argentina-United States BIT,
1846,"Mr. Franck Charles Arif v. Republic of Moldova, ICSID Case No. ARB/11/23",,MDA,,France-Moldova BIT,848,Arif,ICSID,,France-Moldova BIT,
3472,"Ares International S.r.l. and MetalGeo S.r.l. v. Georgia, ICSID Case No. ARB/05/23",Other service activities,,,Italy-Georgia BIT,2134,,ICSID,In favour of Investor,Italy-Georgia BIT,
3471,"Ares International S.r.l. and MetalGeo S.r.l. v. Georgia, ICSID Case No. ARB/05/23",Other service activities,,,Italy-Georgia BIT,2134,,ICSID,In favour of Investor,Italy-Georgia BIT,
2480,Vladimir Antonov v. Republic of Lithuania,,LTU,,Lithuania-Russian Federation BIT,401,Antonov,ICC,,Lithuania-Russian Federation BIT,
79,"Limited Liability Company Amto v. Ukraine, SCC Case No. 080/2005",,UKR,,Energy Charter Treaty (ECT),59,Amto,SCC,,Energy Charter Treaty (ECT),
3475,"Amco Asia Corporation and others v. Republic of Indonesia, ICSID Case No. ARB/81/1",Other service activities,,,,,,ICSID,In favour of Investor,,
3989,"Álvarez y Marín Corporación S.A. and others v. Republic of Panama, ICSID Case No. ARB/15/14",Real estate activities,,,Central America-Panama FTA 2002 (Spanish),2754,,ICSID,,Netherlands - Panama BIT (2000) and Central America-Panama FTA (2002),
143,"BG Group Plc. v. The Republic of Argentina, UNCITRAL",,ARG,,Argentina-United Kingdom BIT,119,BG Group Plc.,UNCITRAL,,Argentina-United Kingdom BIT,
3593,"Alstom Power Italia SpA and Alstom SpA v. Republic of Mongolia, ICSID Case No. ARB/04/10","Electricity, gas, steam and air conditioning supply",,,,2282,,ICSID,In favour of Investor,Italy - Mongolia BIT,
2032,"Mr. Ali Allawi v. Pakistan, UNCITRAL",,PAK,,Pakistan-United Kingdom BIT,893,Allawi,UNCITRAL,,Pakistan-United Kingdom BIT,
3495,"Alimenta S.A. v. Republic of The Gambia, ICSID Case No. ARB/99/5",Other service activities,,,Switzerland-Gambia BIT,2140,,ICSID,Settled,Switzerland-Gambia BIT,
3494,"Alimenta S.A. v. Republic of The Gambia, ICSID Case No. ARB/99/5",Other service activities,,,Switzerland-Gambia BIT,2139,,ICSID,Settled,Switzerland-Gambia BIT,
2783,"Giovanni Alemanni and Others v. The Argentine Republic, ICSID Case No. ARB/07/8",,ARG,,Argentina-Italy BIT,36,Alemanni,ICSID,,Argentina-Italy BIT,
3497,"Alcoa Minerals of Jamaica Inc. v. Jamaica, ICSID Case No. ARB/74/2","Mining and quarrying, including hydrocarbons (oil and gas)",,,,,,ICSID,Settled,,
3643,"ALAS International Baustoffproduktions AG v. Bosnia and Herzegovina, ICSID Case No. ARB/07/11",Construction,,,,2317,,ICSID,,Bosnia and Herzegovina - Austria BIT,
2185,Mohamed Abdulmohsen Al-Kharafi & Sons Co. v. Libya and others,,LBY,,,951,Al-Kharafi and Sons Co.,,,The Unified Agreement for the Investment of Arab Capital in the Arab States (The UA),
65,"Mohammad Ammar Al-Bahloul v. The Republic of Tajikistan, SCC Case No. V (064/2008)",,TJK,,Energy Charter Treaty (ECT),59,Al-Bahloul,SCC,,Energy Charter Treaty (ECT),
1527,"Hesham T. M. Al Warraq v. Republic of Indonesia, UNCITRAL",,IDN,,Organisation of Islamic Cooperation Investment Agreement,803,Al Warraq,UNCITRAL,,Organisation of Islamic Cooperation Investment Agreement,
3628,"Aguaytia Energy, LLC v. Republic of Peru, ICSID Case No. ARB/06/13","Electricity, gas, steam and air conditioning supply",,,,,,ICSID,In favour of Investor,,
3588,"Aguas Cordobesas S.A., Suez, and Sociedad General de Aguas de Barcelona S.A. v. Argentine Republic, ICSID Case No. ARB/03/18","Water supply; sewerage, waste management and remediation activities",,,Argentina-France BIT,234,,ICSID,Settled,Argentina-France BIT,
3500,"AGIP S.p.A. v. People's Republic of the Congo, ICSID Case No. ARB/77/1","Mining and quarrying, including hydrocarbons (oil and gas)",,,,,,ICSID,In favour of Investor,,
3826,"Aeroport Belbek LLC and Mr. Igor Valerievich Kolomoisky v. The Russian Federation, PCA Case No. 2014-30",Wholesale and retail trade; repair of motor vehicles and motorcycles,,,Russian Federation - Ukraine BIT,2475,,UNCITRAL,,Russian Federation - Ukraine BIT,
4177,"Active Partners Group Limited v. The Republic of South Sudan, PCA Case no 2013/4","Electricity, gas, steam and air conditioning supply",,"US $35,770,000",,,,UNCITRAL,In favour of Investor,,
3907,"ACP Axos Capital GmbH v. Republic of Kosovo, ICSID Case No. ARB/15/22",Information and communication,,,Law no. 04/L-220 on Foreign Investment (2014),2562,,ICSID,,Germany - Federal Republic of Yugoslavia BIT,
2564,"Achmea B.V. v. The Slovak Republic, UNCITRAL, PCA Case No. 2013-12 (Number 2)",,,,,383,,UNCITRAL,,Netherlands-Slovak Repubic BIT,
3570,"Occidental of Pakistan, Inc. v. Islamic Republic of Pakistan, ICSID Case No. ARB/87/4","Mining and quarrying, including hydrocarbons (oil and gas)",,,,,,ICSID,Settled,,
3631,"Shell Brands International AG and Shell Nicaragua S.A. v. Republic of Nicaragua, ICSID Case No. ARB/06/14",Other service activities,,,Netherlands-Nicaragua BIT,2309,,ICSID,Settled,Netherlands-Nicaragua BIT,
3974,"Cortec Mining Kenya Limited, Cortec (Pty) Limited and Stirling Capital Limited v. Republic of Kenya, ICSID Case No. ARB/15/29","Electricity, gas, steam and air conditioning supply",,,Kenya - United Kingdom BIT (1999),2723,,ICSID,,Kenya - United Kingdom BIT (1999),
43,"ADF Group Inc. v. United States of America, ICSID Case No. ARB (AF)/00/1",Transportation and storage,,,NAFTA,11,,ICSID Additional Facility,In favour of State,NAFTA,
5403,"Vladislav Kim and others v. Republic of Uzbekistan, ICSID Case No. ARB/13/6",Construction,,,BIT Uzbekistan - Kazakhstan 1997,3839,,ICSID,,BIT Uzbekistan - Kazakhstan 1997,
508,"Antoine Goetz et consorts v. République du Burundi, ICSID Case No. ARB/95/3","Mining and quarrying, including hydrocarbons (oil and gas)",,,BLEU (Belgium-Luxembourg Economic Union) - Burundi BIT (1989),347,,ICSID,Settled,Belgium-Luxembourg-Burundi BIT,
5576,"Al Jazeera Media Network v. Arab Republic of Egypt, ICSID Case No. ARB/16/1",Information and communication,,,Egypt - Qatar BIT (1999),3939,,ICSID,,Egypt - Qatar BIT (1999),
5142,"Agility for Public Warehousing Company K.S.C. v. Republic of Iraq, ICSID",Information and communication,,,Iraq - Kuwait BIT (1964),3682,,,,Iraq - Kuwait BIT (1964),
1812,"Abertis Infraestructuras S.A. v. Government of Bolivia, PCA",Transportation and storage,,,Bolivia-Spain BIT (2001),4126,,,Settled,Bolivia-Spain BIT (2001),
5183,"A11Y LTD. v. Czech Republic, ICSID Case No. UNCT/15/1",Other service activities,,,United Kingdom of Great Britain and Northern Ireland - Czech Republic BIT 1990,3750,,UNCITRAL,,United Kingdom of Great Britain and Northern Ireland - Czech Republic BIT,
5565,"Lidercón, S.L. v. Republic of Peru, ICSID Case No. ARB/17/",Transportation and storage,,,Peru - Spain BIT (1994),3933,,ICSID,,Peru - Spain BIT (1994),
3875,"Strategic Infrasol Foodstuff LLC and The Joint Venture of Thakur Family Trust UAEwith Ace Hospitality Management DMCC UAE v. India, UNCITRAL",Accommodation and food service activities,,,United Arab Emirates- India Bilateral Investment Treaty,2534,,,,United Arab Emirates- India Bilateral Investment Treaty,
2358,"Anatolie Stati, Gabriel Stati, Ascom Group SA and Terra Raf Trans Traiding Ltd v. Kazakhstan, SCC Case No. V (116/2010)","Mining and quarrying, including hydrocarbons (oil and gas)",,"US $497,685,100",,59,,SCC Rules of Arbitration,In favour of Investor,Energy Charter Treaty (ECT),
5713,"Vedanta Resources PLC v. Government of India, UNCITRAL","Mining and quarrying, including hydrocarbons (oil and gas)",,,India - United Kingdom BIT (1994),4038,,UNCITRAL,,India - United Kingdom BIT (1994),
5388,"WNC Factoring Limited v. The Czech Republic, PCA Case No. 2014-34","Electricity, gas, steam and air conditioning supply",,,Czech Republic - United Kingdom 1993,3809,,UNCITRAL,In favour of State,Czech Republic - United Kingdom 1993,
4952,"Windoor v. Republic of Kazakhstan, ICSID",Construction,,,,3655,,,,Estonia-Kazakhstan BIT,
5595,"Vitosha Resort 2000 OOD, Ram Investments OOD and Mordechai Ramot v. Republic of Bulgaria",Construction,,,Bulgaria-Israel BIT,3990,,,,Bulgaria-Israel BIT,
5594,"Vitosha Resort 2000 OOD, Ram Investments OOD and Mordechai Ramot v. Republic of Bulgaria",Construction,,,"",3990,,,,Bulgaria-Israel BIT,
1138,"United Parcel Service of America Inc. v. Government of Canada, ICSID Case No. UNCT/02/1",Transportation and storage,CAN,,NAFTA,11,United Parcel Service of America Inc.,UNCITRAL,In favour of State,NAFTA,
2735,"Turkcell İletişim Hizmetleri A.Ş. v. The Islamic Republic of Iran, UNCITRAL",Information and communication,Iran,,Iran-Turkey BIT,1083,Turkcell,UNCITRAL,,Iran-Turkey BIT,
3823,"TransCanada Corporation and TransCanada PipeLines Limited v. The United States of America, ICSID Case No. ARB/16/21","Mining and quarrying, including hydrocarbons (oil and gas)",,,North American Free Trade Agreement,11,,ICSID,Discontinued,NAFTA,
6179,"The Renco Group, Inc. v. Republic of Peru (Second Case)","Mining and quarrying, including hydrocarbons (oil and gas)",,,,522,,,,Peru-United States Trade Promotion Agreement,
2084,"Tenaris S.A. and Talta - Trading e Marketing Sociedade Unipessoal Lda. v. Bolivarian Republic of Venezuela, ICSID Case No. ARB/11/26",,VEN,"US $172,800,000",Luxembourg-Venezuela BIT,920,"Tenaris S.A., Talta - Trading e Marketing Sociedade Unipessoal Lda.",ICSID,In favour of Investor,Luxembourg-Venezuela BIT,
2256,"Swissbourgh Diamond Mines (Pty) Limited, Josias Van Zyl, The Josias Van Zyl Family Trust and others v. The Kingdom of Lesotho, PCA Case No. 2013-29","Mining and quarrying, including hydrocarbons (oil and gas)",LSO,,Finance and Investment Protocol (FIP) for the Southern African Development Community (SADC),972,Swissbourgh Diamond Mines (Pty) Limited,UNCITRAL,Neither investor nor State (treaty breach(es) found but claim for damages rejected),Finance and Investment Protocol (FIP) for the Southern African Development Community (SADC),
5929,"Surfeit Harvest Investment Holding Pte Ltd v. Republic of China (Taiwan), PCA",Financial and insurance activities,,,,4287,,UNCITRAL,,Agreement between Singapore and the Separate Customs Territory of Taiwan,
5716,"Silverton Finance Service Inc. v. Dominican Republic, UNCITRAL",Real estate activities,,,Dominican Republic - Panama BIT (2003),4042,,UNCITRAL Arbitration Rules (2013),Discontinued,Dominican Republic - Panama BIT (2003),
5776,"Sanum Investments Limited v. Lao People’s Democratic Republic, ICSID Case No. ADHOC/17/1","Arts, entertainment and recreation",,,China - Lao People's Democratic Republic BIT (1993),4197,,ad hoc,,China - Lao People's Democratic Republic BIT (1993),
1784,"Saint-Gobain Performance Plastics Europe v. Bolivarian Republic of Venezuela, ICSID Case No. ARB/12/13",Other service activities,VEN,,Bolivia-France BIT,639,Saint-Gobain Performance Plastics Europe,ICSID,In favour of Investor,Bolivia-France BIT,
4860,"Saint Patrick Properties Corporation v. Bolivarian Republic of Venezuela, ICSID Case No. ARB/16/40",Transportation and storage,,,,590,,,,Barbados-Venezuela BIT,
5569,Rubis Caribbean v. Barbados,"Mining and quarrying, including hydrocarbons (oil and gas)",,,UK-Barbados BIT (1993),3935,,,,UK-Barbados BIT (1993),
4422,"Roscosmos State Corporation for Space Activities, RKTs Progress, KBOM and TsENKI v French Republic",Activities of extraterritorial organizations and bodies,,,Russian Federation - France BIT (1989),,,,,,
4369,"Resolute Forest Products Inc. v the Government of Canada, PCA Case No. 2016-13",Manufacturing,,,NAFTA,11,,UNCITRAL,,NAFTA,
4904,Robert J. Frank v. United Mexican States,Real estate activities,,,,,,UNCITRAL,Discontinued,,
906,"The Renco Group, Inc. v. The Republic of Peru, ICSID Case No. UNCT/13/1","Mining and quarrying, including hydrocarbons (oil and gas)",PER,,,522,"Renco Group, Inc.",,In favour of Investor,Peru-United States Trade Promotion Agreement,
