id,decisions,caseno,title,type,claimant,econsector,instrumentinvk1,instrumentinvk2,partiessub,respondent,rulesapplied,seatarbitration,status,subject
453,,ARB/07/17,Impregilo S.p.A.  v. Argentine Republic  (ICSID Case No. ARB/07/17),"",Impregilo S.p.A.,"Water, Sanitation & Flood Protection",BIT Argentina - Italy 1990,"",,ARG,ICSID Convention - Arbitration Rules,"",Concluded,Water services concession
451,,ARB/07/19,Electrabel S.A.  v. Hungary  (ICSID Case No. ARB/07/19),"",Electrabel S.A.,Electric Power & Other Energy,"",ECT (Energy Charter Treaty),,HUN,ICSID Convention - Arbitration Rules,"",Concluded,Electricity generation
450,,ARB/07/20,Saba Fakes  v. Republic of Turkey  (ICSID Case No. ARB/07/20),"",Saba Fakes,Information & Communication,BIT Netherlands - Turkey 1986,"",,TUR,ICSID Convention - Arbitration Rules,"",Concluded,Mobile telecommunications services
449,,ARB/07/21,Pantechniki S.A. Contractors & Engineers  v. Republic of Albania  (ICSID Case No. ARB/07/21),"",Pantechniki S.A. Contractors & Engineers,Construction,BIT Greece - Albania 1991,Investment Law - Albania (1993),,ALB,ICSID Convention - Arbitration Rules,"",Concluded,Construction contracts
446,,CONC/07/1,Shareholders of SESAM  v. Central African Republic  (ICSID Case No. CONC/07/1),"",Shareholders of SESAM,"Agriculture, Fishing & Forestry","",Contract,,CAF,ICSID Convention - Conciliation Rules,"",Concluded,Log production and processing enterprise
443,,ARB/07/23,Railroad Development Corporation  v. Republic of Guatemala  (ICSID Case No. ARB/07/23),"",Railroad Development Corporation,Transportation,"",CAFTA-DR (Dominican Republic-Central America Free Trade Agreement),,GTM,ICSID Convention - Arbitration Rules,"",Concluded,Railroad concession contract
471,,ARB/06/20,Newmont USA Limited and Newmont (Uzbekistan) Limited v. Republic of Uzbekistan (ICSID Case No. ARB/06/20),"",Newmont USA Limited and Newmont (Uzbekistan) Limited,"Oil, Gas & Mining","",Investment Law - Uzbekistan (1998),,UZB,ICSID Convention - Arbitration Rules,"",Concluded,Gold extraction enterprise
462,,ARB/07/5,Abaclat and others  v. Argentine Republic  (ICSID Case No. ARB/07/5),"",Abaclat and others ,"",BIT Argentina - Italy 1990,"",,ARG,ICSID Convention - Arbitration Rules,"",Concluded,Debt instruments
454,,ARB/07/10,M. Meerapfel Söhne AG v. Central African Republic  (ICSID Case No. ARB/07/10),"",M. Meerapfel Söhne AG,Other Industry,"",Contract,,CAF,ICSID Convention - Arbitration Rules,"",Concluded,Tobacco industry
441,,ARB/07/25,"Trans-Global Petroleum, Inc. v. Hashemite Kingdom of Jordan (ICSID Case No. ARB/07/25)","","Trans-Global Petroleum, Inc.","Oil, Gas & Mining",BIT Jordan - United States of America 1997,"",,JOR,ICSID Convention - Arbitration Rules,"",Concluded,Oil exploration concession
440,,ARB/07/26,"Urbaser S.A. and Consorcio de Aguas Bilbao Bizkaia, Bilbao Biskaia Ur Partzuergoa v. Argentine Republic  (ICSID Case No. ARB/07/26)","","Urbaser S.A. and Consorcio de Aguas Bilbao Bizkaia, Bilbao Biskaia Ur Partzuergoa","Water, Sanitation & Flood Protection",BIT Spain - Argentina 1991,"",,ARG,ICSID Convention - Arbitration Rules,"",Concluded,Water services concession
437,,ARB/07/27,Venezuela Holdings B.V. and others v. Bolivarian Republic of Venezuela (ICSID Case No. ARB/07/27),"",Venezuela Holdings B.V. and others,"","BIT Netherlands - Venezuela,  Republica Bolivariana de 1991",Investment Law - Venezuela (1999),,VEN,ICSID Convention - Arbitration Rules,"",Concluded,Oil and gas enterprise
436,,ARB/07/28,E.T.I. Euro Telecom International N.V. v. Plurinational State of Bolivia  (ICSID Case No. ARB/07/28),"",E.T.I. Euro Telecom International N.V.,Information & Communication,BIT Bolivia - Netherlands 1992,"",,BOL,ICSID Convention - Arbitration Rules,"",Concluded,Telecommunications enterprise
431,,ARB/07/31,HOCHTIEF Aktiengesellschaft v. Argentine Republic (ICSID Case No. ARB/07/31),"",HOCHTIEF Aktiengesellschaft,Transportation,BIT Germany - Argentina 1991,"",,ARG,ICSID Convention - Arbitration Rules,"",Pending,Highway system construction contract
427,,ARB/08/1,Marion Unglaube v. Republic of Costa Rica (ICSID Case No. ARB/08/1),"",Marion Unglaube,Tourism,BIT Germany - Costa Rica 1994,"",,CRI,ICSID Convention - Arbitration Rules,"",Concluded,Tourism project
421,,ARB/08/4,Murphy Exploration and Production Company International v. Republic of Ecuador (ICSID Case No. ARB/08/4),"",Murphy Exploration and Production Company International,"Oil, Gas & Mining",BIT Ecuador - United States of America 1993,"",,ECU,ICSID Convention - Arbitration Rules,"",Concluded,Hydrocarbon concession
423,,ARB(AF)/08/1,Quadrant Pacific Growth Fund L.P. and Canasco Holdings Inc. v. Republic of Costa Rica (ICSID Case No. ARB(AF)/08/1),"",Quadrant Pacific Growth Fund L.P. and Canasco Holdings Inc.,Tourism,BIT Costa Rica - Canada 1998,"",,CRI,ICSID Additional Facility - Arbitration Rules,null,Concluded,Agricultural enterprises
424,,ARB/08/2,"ATA Construction, Industrial and Trading Company v. Hashemite Kingdom of Jordan (ICSID Case No. ARB/08/2)","","ATA Construction, Industrial and Trading Company",Transportation,BIT Turkey - Jordan 1993,"",,JOR,ICSID Convention - Arbitration Rules,"",Concluded,Waterway construction project
417,,ARB/08/7,Itera International Energy LLC and Itera Group NV v. Georgia (ICSID Case No. ARB/08/7),"",Itera International Energy LLC and Itera Group NV,"Oil, Gas & Mining","BIT Georgia - Netherlands 1998, BIT United States of America - Georgia 1994","",,GEO,ICSID Convention - Arbitration Rules,"",Concluded,Gas distribution enterprise
418,,ARB/08/6,Perenco Ecuador Limited v. Republic of Ecuador  (ICSID Case No. ARB/08/6),"",Perenco Ecuador Limited,"Oil, Gas & Mining",BIT France - Ecuador 1994,Contract,,ECU,ICSID Convention - Arbitration Rules,"",Pending,Hydrocarbon concession
419,,ARB/08/5,"Burlington Resources, Inc. v. Republic of Ecuador  (ICSID Case No. ARB/08/5)","","Burlington Resources, Inc.","Oil, Gas & Mining",BIT Ecuador - United States of America 1993,Contract,,ECU,ICSID Convention - Arbitration Rules,"",Pending,Hydrocarbon concession
414,,ARB/08/10,"Repsol YPF Ecuador, S.A. and others v. Republic of Ecuador and Empresa Estatal Petróleos del Ecuador (PetroEcuador) (ICSID Case No. ARB/08/10)","","Repsol YPF Ecuador, S.A. and others","Oil, Gas & Mining","",Contract,,Republic of Ecuador and Empresa Estatal Petróleos del Ecuador (PetroEcuador),ICSID Convention - Arbitration Rules,"",Concluded,Oil exploration contract
413,,ARB/08/11,"Bosh International, Inc. and B&P, LTD Foreign Investments Enterprise v. Ukraine (ICSID Case No. ARB/08/11)","","Bosh International, Inc. and B&P, LTD Foreign Investments Enterprise",Tourism,BIT Ukraine - United States of America 1994,"",,UKR,ICSID Convention - Arbitration Rules,"",Concluded,Hotel development project
408,,ARB/08/14,Impregilo S.p.A. v. Argentine Republic (ICSID Case No. ARB/08/14),"",Impregilo S.p.A.,Transportation,BIT Argentina - Italy 1990,"",,ARG,ICSID Convention - Arbitration Rules,"",Concluded,Highway construction concession
411,,ARB/08/12,Caratube International Oil Company LLP v. Republic of Kazakhstan (ICSID Case No. ARB/08/12),"",Caratube International Oil Company LLP,"Oil, Gas & Mining",BIT United States of America - Kazakhstan 1992,"",,KAZ,ICSID Convention - Arbitration Rules,"",Concluded,Oil exploration and production contract
291,,ARB/11/22,Vigotop Limited v. Hungary  (ICSID Case No. ARB/11/22),"",Vigotop Limited,Tourism,BIT Cyprus - Hungary 1989,"",,HUN,ICSID Convention - Arbitration Rules,"",Concluded,Resort development
287,,CONC/11/1,RSM Production Corporation v. Republic of Cameroon  (ICSID Case No. CONC/11/1),"",RSM Production Corporation,"Oil, Gas & Mining","",Contract,,CMR,ICSID Convention - Conciliation Rules,"",Concluded,Hydrocarbons exploration and exploitation concession agreement
276,,ARB/11/29,Getma International and others v. Republic of Guinea (ICSID Case No. ARB/11/29),"",Getma International and others,Transportation,"",Investment Law - Guinea (1987),,GIN,ICSID Convention - Arbitration Rules,"",Concluded,Port development project
406,,ARB/08/16,GEA Group Aktiengesellschaft v. Ukraine (ICSID Case No. ARB/08/16),"",GEA Group Aktiengesellschaft,Other Industry,BIT Ukraine - Germany 1993,"",,UKR,ICSID Convention - Arbitration Rules,"",Concluded,Petrochemical industry
405,,UNCT/10/2,Apotex Inc. v. United States of America (ICSID Case No. UNCT/10/2),"",Apotex Inc.,Other Industry,"",NAFTA (North American Free Trade Agreement),,USA,UNCITRAL,"New York, NY",Concluded,Pharmaceutical enterprise
404,,ARB/08/17,Participaciones Inversiones Portuarias SARL v. Gabonese Republic (ICSID Case No. ARB/08/17),"",Participaciones Inversiones Portuarias SARL,Transportation,BIT Belgium-Luxembourg - Gabon 1998,Investment Law - Gabon (1998),,GAB,ICSID Convention - Arbitration Rules,"",Concluded,Concession regarding two ports
398,,ARB/09/1,"Teinver S.A., Transportes de Cercanías S.A. and Autobuses Urbanos del Sur S.A. v. Argentine Republic (ICSID Case No. ARB/09/1)","","Teinver S.A., Transportes de Cercanías S.A. and Autobuses Urbanos del Sur S.A.",Transportation,BIT Spain - Argentina 1991,"",,ARG,ICSID Convention - Arbitration Rules,"",Pending,Air transportation services
