DISPUTE.id,DISPUTE.title,DISPUTE.economic_sector,DISPUTE.case_respondent,DISPUTE.amount_of_damages,DISPUTE.case_law_text,DISPUTE.case_treaties_tid,DISPUTE.case_claimant,DISPUTE.arbitration_rules,DISPUTE.outcome,DISPUTE.case_treaties,DISPUTE.case_country,ICSID.id,ICSID.decisions,ICSID.caseno,ICSID.title,ICSID.type,ICSID.claimant,ICSID.econsector,ICSID.instrumentinvk1,ICSID.instrumentinvk2,ICSID.partiessub,ICSID.respondent,ICSID.rulesapplied,ICSID.seatarbitration,ICSID.status,ICSID.subject
101,"Mr. Hassan Awdi, Enterprise Business Consultants, Inc. and Alfa El Corporation v. Romania, ICSID Case No. ARB/10/13",,ROU,,Romania-United States BIT,114.0,"Awdi, Enterprise Business Consultants Inc.",ICSID,,Romania-United States BIT,,333.0,,ARB/10/13,"Hassan Awdi, Enterprise Business Consultants, Inc. and Alfa El Corporation v. Romania (ICSID Case No. ARB/10/13)",,"Hassan Awdi, Enterprise Business Consultants, Inc. and Alfa El Corporation",Information & Communication,BIT Romania - United States of America 1992,,,ROU,ICSID Convention - Arbitration Rules,,Concluded,Press distribution and real estate
3256,AVIC International Holding Corporation and Chengdu Aircraft Corporation v Triumph Aerostructures,"Professional, scientific and technical activities",,US $20,,,,ICC,In favour of Investor,,,,,,,,,,,,,,,,,
3659,"Iberdrola, S.A. and Iberdrola Energía, S.A.U. v. Plurinational State of Bolivia, PCA Case No. 2015-05","Electricity, gas, steam and air conditioning supply",,,,640.0,,,,Bolivia-Spain BIT,,,,,,,,,,,,,,,,
1158,"Waste Management, Inc. v. United Mexican States (""Number 2""), ICSID Case No. ARB(AF)/00/3",,MEX,,NAFTA,11.0,"Waste Management, Inc.",ICSID Additional Facility,,NAFTA,,685.0,,ARB(AF)/00/3,"Waste Management, Inc. v. United Mexican States  (ICSID Case No. ARB(AF)/00/3)",,"Waste Management, Inc.","Water, Sanitation & Flood Protection",,NAFTA (North American Free Trade Agreement),,MEX,ICSID Additional Facility - Arbitration Rules,"Washington, D.C.",Concluded,Waste disposal enterprise
1472,"Bernhard von Pezold and Others v. Republic of Zimbabwe, ICSID Case No. ARB/10/15",,ZWE,,Germany-Zimbabwe BIT,777.0,von Pezold,ICSID,,Germany-Zimbabwe BIT,,340.0,,ARB/10/15,Bernhard von Pezold and others v.  Republic of Zimbabwe (ICSID Case No. ARB/10/15),,Bernhard von Pezold and others,"Agriculture, Fishing & Forestry","BIT Zimbabwe - Germany 1995, BIT Zimbabwe - Switzerland 1996",,,ZWE,ICSID Convention - Arbitration Rules,,Pending,Commercial farms
1155,"Waste Management, Inc. v. United Mexican States, ICSID Case No. ARB(AF)/98/2",,MEX,,NAFTA,11.0,"Waste Management, Inc.",ICSID Additional Facility,,NAFTA,,719.0,,ARB(AF)/98/2,"Waste Management, Inc. v. United Mexican States  (ICSID Case No. ARB(AF)/98/2)",,"Waste Management, Inc.","Water, Sanitation & Flood Protection",,NAFTA (North American Free Trade Agreement),,MEX,ICSID Additional Facility - Arbitration Rules,"Washington, D.C.",Concluded,Waste disposal enterprise
1105,"Total S.A. v. The Argentine Republic, ICSID Case No. ARB/04/01",,ARG,,Argentina-France BIT,234.0,Total S.A.,ICSID,,Argentina-France BIT,,583.0,,ARB/04/1,Total S.A.  v. Argentine Republic (ICSID Case No. ARB/04/1),,Total S.A.,"Oil, Gas & Mining",BIT France - Argentina 1991,,,ARG,ICSID Convention - Arbitration Rules,,Concluded,Gas production and distribution/power generation project
2515,"Voltaic Network GmbH v. Czech Republic, UNCITRAL",,CZE,,Czech Republic-Germany BIT,149.0,Voltaic Network GmbH,UNCITRAL,,Czech Republic-Germany BIT,,,,,,,,,,,,,,,,
2544,"Vodafone v. India, UNCITRAL",,IND,,India-Netherlands BIT,1046.0,Vodafone,UNCITRAL,,India-Netherlands BIT,,,,,,,,,,,,,,,,
3273,"Zhinvali Development Ltd. v. Republic of Georgia, ICSID Case No. ARB/00/1","Electricity, gas, steam and air conditioning supply",,,Law No. 473 of 1996 On Promotion and Guarantees of Investment Activity [Georgia],,,ICSID,In favour of Investor,,,697.0,,ARB/00/1,Zhinvali Development Ltd. v. Republic of Georgia  (ICSID Case No. ARB/00/1),,Zhinvali Development Ltd.,Electric Power & Other Energy,,Investment Law - Georgia (1996),,Republic of Georgia,ICSID Convention - Arbitration Rules,,Concluded,Rehabilitation of a hydropower plant
